iter	F1	Logloss
0	0.7604903267	0.6704049109
1	0.7638525465	0.6513471421
2	0.7632189666	0.6349961754
3	0.7684735767	0.6189978265
4	0.7649885702	0.6073870697
5	0.770126214	0.5942636437
6	0.7652426053	0.5860445928
7	0.7649092858	0.578709266
8	0.7657245349	0.57094641
9	0.7656997183	0.5618259794
10	0.7664822404	0.5551132191
11	0.7663549952	0.5474125551
12	0.7678511014	0.5404690851
13	0.7686649051	0.5347674492
14	0.7683464801	0.5305027226
15	0.7707969406	0.5276355382
16	0.7695353428	0.5228257989
17	0.7684232352	0.5200180709
18	0.7689361623	0.5157475151
19	0.769243318	0.5130345087
20	0.7696326593	0.509701988
21	0.770608999	0.5066304029
22	0.7707528852	0.5042428704
23	0.7725240587	0.5025444636
24	0.7733391032	0.5001379532
25	0.7735893221	0.4979276971
26	0.7737926493	0.4961947558
27	0.7757106816	0.4939446581
28	0.774667711	0.491720141
29	0.7746340292	0.4905240585
30	0.7744752656	0.4887255111
31	0.77533043	0.4871841974
32	0.7756375653	0.4853440994
33	0.774407388	0.4848280128
34	0.7744987645	0.4842942055
35	0.7760292576	0.4822702656
36	0.7763366176	0.4809593039
37	0.7761534802	0.480102481
38	0.7776235431	0.4783936178
39	0.7769185597	0.4774048428
40	0.7783274428	0.4765438032
41	0.7803409635	0.4757373774
42	0.7809833271	0.4744267195
43	0.7808914961	0.4737126962
44	0.7814710876	0.4726884324
45	0.7822897226	0.4720357577
46	0.7824090538	0.4711159422
47	0.7847211396	0.4701720442
48	0.7854831326	0.4689836172
49	0.7848797589	0.4679757477
50	0.7860363416	0.4670824553
51	0.7853407655	0.4667178315
52	0.7858518521	0.4660856956
53	0.7870077824	0.4651482907
54	0.7867068146	0.4644694828
55	0.7864493937	0.4637485646
56	0.788117452	0.4630188282
57	0.7884180877	0.4626669179
58	0.7882329367	0.4626004415
59	0.7887184577	0.4618576672
60	0.7890407595	0.4612930887
61	0.7888557726	0.461211104
62	0.7889482552	0.4610017706
63	0.7890407595	0.4609097492
64	0.7891332854	0.460488834
65	0.7889259875	0.4596508507
66	0.7882785697	0.4595631616
67	0.7887604368	0.4592429937
68	0.789014847	0.458775337
69	0.7898031704	0.4582902138
70	0.7916751789	0.457866747
71	0.7920309907	0.4575290563
72	0.7920113338	0.4574333383
73	0.7927683456	0.4570698657
74	0.7934517718	0.4567463691
75	0.7922152008	0.4565315294
76	0.7927874101	0.4558097572
77	0.7937469642	0.4553889494
78	0.7937469642	0.4553645309
79	0.7932486024	0.4550564016
80	0.7940057461	0.4547604044
81	0.7943009021	0.4544431528
82	0.7941161702	0.4539699392
83	0.7939133634	0.4539341449
84	0.7943933002	0.4535532265
85	0.7944857199	0.453505472
86	0.7949654969	0.4530298313
87	0.7948730403	0.4529130531
88	0.7956469351	0.4527239632
89	0.7948730403	0.4523528289
90	0.7948730403	0.4523277592
91	0.7972842943	0.4515722563
92	0.7973768636	0.451314789
93	0.7973768636	0.4513008211
94	0.7974694544	0.4507202841
95	0.7974694544	0.4507198617
96	0.7974694544	0.4507198614
97	0.7982404652	0.4506659657
98	0.7979477108	0.4505651658
99	0.7979477108	0.4505643367
100	0.7998587808	0.4500339632
101	0.7994602911	0.4497057186
102	0.799752469	0.4494883892
103	0.799752469	0.4494883857
104	0.799752469	0.4494618969
105	0.799752469	0.4493980526
106	0.7996596461	0.4493509726
107	0.8000443919	0.4490813369
108	0.8000443919	0.4490796394
109	0.7995668446	0.4490292708
110	0.7993813064	0.448875973
111	0.7999515756	0.4487510521
112	0.7998587808	0.4485598283
113	0.8004288911	0.4482471877
114	0.8008131441	0.448119688
115	0.8009060116	0.4480181873
116	0.8011847434	0.4479212357
117	0.8009989006	0.4479098859
118	0.8008933702	0.4474210821
119	0.8005087967	0.4473069281
120	0.8014514572	0.4468322707
121	0.8007876985	0.4464628545
122	0.8015566879	0.4464331133
123	0.8004028337	0.4462051471
124	0.8002169073	0.4461305652
125	0.8005087967	0.4461270114
126	0.8010793128	0.445957057
127	0.8014514572	0.4454616775
128	0.8021152525	0.4453357624
129	0.8024063029	0.4449984926
130	0.8020221043	0.444809266
131	0.8022084222	0.4444654709
132	0.8027790843	0.4442545471
133	0.8033496453	0.4441417887
134	0.8030588977	0.4436312198
135	0.8024880615	0.4433192329
136	0.8023948268	0.4432401573
137	0.8020103225	0.4427537136
138	0.8023833326	0.4425544308
139	0.8022900475	0.4424009856
140	0.8022900475	0.4422888889
141	0.8022900475	0.4422683791
142	0.8022900475	0.4422683751
143	0.8025699677	0.4419357189
144	0.8026633179	0.4416876065
145	0.8022784632	0.4415875247
146	0.8023718203	0.4415735472
147	0.8016946876	0.4412442432
148	0.8017880586	0.4409028492
149	0.802652022	0.4406561176
150	0.802652022	0.4406250882
151	0.802652022	0.440589806
152	0.802745466	0.4401243224
153	0.8035980152	0.4393898223
154	0.8036916047	0.4392859328
155	0.80311946	0.4387513449
156	0.8030259288	0.4387007844
157	0.80311946	0.4385094498
158	0.8030259288	0.4383671752
159	0.8026407083	0.4381464075
160	0.8025472137	0.4377768587
161	0.8025472137	0.4377601275
162	0.803702088	0.4377114493
163	0.803702088	0.4374563509
