iter	Passed	Remaining
0	218	108950
1	289	72155
2	343	56926
3	407	50516
4	440	43601
5	494	40704
6	519	36555
7	553	34033
8	619	33787
9	684	33544
10	755	33602
11	829	33722
12	889	33339
13	935	32464
14	996	32221
15	1052	31824
16	1101	31302
17	1130	30274
18	1205	30513
19	1276	30635
20	1350	30807
21	1427	31011
22	1493	30980
23	1544	30626
24	1606	30519
25	1670	30456
26	1733	30375
27	1773	29902
28	1840	29898
29	1916	30019
30	1975	29893
31	2032	29729
32	2103	29761
33	2139	29319
34	2191	29118
35	2262	29165
36	2339	29269
37	2404	29228
38	2468	29183
39	2543	29247
40	2604	29155
41	2647	28867
42	2697	28664
43	2772	28729
44	2843	28746
45	2912	28746
46	2986	28781
47	3039	28626
48	3078	28330
49	3127	28145
50	3168	27894
51	3202	27593
52	3278	27651
53	3337	27565
54	3390	27430
55	3467	27494
56	3544	27549
57	3621	27599
58	3665	27394
59	3743	27455
60	3793	27302
61	3818	26978
62	3848	26695
63	3888	26492
64	3955	26474
65	4012	26384
66	4031	26055
67	4077	25903
68	4120	25739
69	4180	25679
70	4247	25663
71	4297	25546
72	4348	25438
73	4428	25492
74	4500	25500
75	4576	25533
76	4652	25561
77	4727	25576
78	4753	25332
79	4811	25261
80	4846	25069
81	4873	24840
82	4936	24801
83	4966	24594
84	5041	24615
85	5111	24608
86	5192	24651
87	5244	24552
88	5285	24410
89	5355	24395
90	5394	24247
91	5438	24118
92	5480	23985
93	5504	23772
94	5595	23853
95	5628	23688
96	5645	23453
97	5702	23393
98	5775	23395
99	5798	23195
100	5839	23068
101	5878	22936
102	5919	22814
103	5932	22587
104	5946	22369
105	5997	22292
106	6048	22215
107	6095	22124
108	6114	21935
109	6166	21863
110	6239	21867
111	6311	21863
112	6383	21861
113	6455	21859
114	6532	21870
115	6575	21768
116	6624	21685
117	6653	21539
118	6706	21471
119	6746	21362
120	6787	21259
121	6828	21157
122	6844	20977
123	6886	20880
124	6950	20850
125	6983	20728
126	7036	20665
127	7083	20586
128	7136	20523
129	7201	20495
130	7252	20429
131	7322	20415
132	7401	20422
133	7463	20384
134	7523	20340
135	7588	20309
136	7635	20230
137	7689	20172
138	7752	20133
139	7827	20127
140	7854	19999
141	7883	19874
142	7919	19771
143	7990	19754
144	8065	19746
145	8133	19720
146	8183	19651
147	8253	19629
148	8324	19610
149	8395	19589
150	8465	19566
151	8532	19535
152	8571	19440
153	8612	19351
154	8659	19274
155	8724	19237
156	8784	19191
157	8843	19143
158	8899	19086
159	8963	19047
160	9012	18975
161	9030	18841
162	9072	18756
163	9121	18688
164	9168	18615
165	9218	18547
166	9265	18476
167	9312	18402
168	9347	18307
169	9414	18276
170	9490	18258
171	9563	18237
172	9625	18193
173	9670	18118
174	9722	18056
175	9747	17945
176	9819	17919
177	9897	17905
178	9927	17803
179	9992	17764
180	10060	17730
181	10130	17701
182	10203	17675
183	10278	17652
184	10352	17627
185	10429	17606
186	10495	17567
187	10578	17555
188	10636	17502
189	10700	17458
190	10749	17390
191	10823	17363
192	10899	17337
193	10976	17313
194	11051	17286
195	11123	17252
196	11199	17224
197	11253	17163
198	11304	17098
199	11359	17039
200	11425	16995
201	11507	16975
202	11576	16937
203	11634	16881
204	11727	16876
205	11808	16852
206	11862	16791
207	11926	16742
208	12002	16711
209	12072	16672
210	12137	16624
211	12190	16561
212	12261	16522
213	12332	16481
214	12389	16423
215	12454	16375
216	12529	16339
217	12594	16292
218	12654	16237
219	12727	16198
220	12791	16148
221	12857	16101
222	12909	16036
223	12964	15973
224	13054	15955
225	13129	15918
226	13207	15883
227	13266	15826
228	13331	15776
229	13403	15734
230	13466	15681
231	13524	15622
232	13584	15566
233	13631	15495
234	13701	15450
235	13785	15421
236	13876	15398
237	13966	15374
238	14048	15341
239	14099	15273
240	14161	15219
241	14217	15157
242	14273	15095
243	14340	15046
244	14418	15007
245	14496	14967
246	14555	14909
247	14612	14847
248	14666	14784
249	14717	14717
250	14765	14647
251	14814	14579
252	14857	14504
253	14896	14427
254	14957	14371
255	15028	14323
256	15098	14276
257	15182	14241
258	15258	14197
259	15331	14152
260	15404	14105
261	15478	14060
262	15554	14016
263	15621	13964
264	15665	13891
265	15714	13824
266	15785	13775
267	15831	13704
268	15899	13653
269	15974	13607
270	16049	13561
271	16127	13518
272	16204	13474
273	16268	13418
274	16324	13356
275	16372	13287
276	16413	13213
277	16458	13142
278	16501	13071
279	16544	12999
280	16589	12929
281	16648	12870
282	16692	12799
283	16749	12738
284	16796	12671
285	16862	12617
286	16925	12561
287	16992	12508
288	17071	12463
289	17148	12417
290	17193	12348
291	17234	12276
292	17275	12205
293	17315	12132
294	17359	12063
295	17400	11991
296	17451	11928
297	17531	11883
298	17606	11835
299	17659	11773
300	17717	11713
301	17766	11647
302	17806	11577
303	17867	11519
304	17939	11469
305	17997	11410
306	18084	11368
307	18137	11306
308	18190	11243
309	18253	11187
310	18333	11141
311	18410	11093
312	18474	11037
313	18519	10970
314	18576	10909
315	18625	10845
316	18689	10789
317	18759	10736
318	18812	10673
319	18868	10613
320	18930	10556
321	19007	10507
322	19072	10451
323	19132	10392
324	19183	10329
325	19229	10263
326	19310	10216
327	19388	10167
328	19456	10112
329	19526	10058
330	19593	10003
331	19640	9938
332	19683	9871
333	19735	9808
334	19816	9760
335	19894	9710
336	19942	9645
337	20007	9589
338	20074	9533
339	20146	9480
340	20210	9423
341	20280	9369
342	20351	9315
343	20425	9262
344	20503	9211
345	20582	9160
346	20659	9109
347	20743	9060
348	20816	9006
349	20887	8951
350	20953	8894
351	21003	8830
352	21056	8768
353	21125	8712
354	21210	8663
355	21290	8611
356	21354	8553
357	21416	8494
358	21508	8447
359	21576	8390
360	21616	8323
361	21658	8256
362	21697	8188
363	21741	8123
364	21792	8060
365	21839	7995
366	21901	7936
367	21943	7870
368	22003	7811
369	22100	7765
370	22140	7698
371	22200	7638
372	22260	7579
373	22336	7525
374	22403	7467
375	22479	7413
376	22530	7350
377	22589	7290
378	22658	7233
379	22709	7171
380	22759	7108
381	22817	7048
382	22894	6994
383	22963	6936
384	23035	6880
385	23116	6827
386	23178	6767
387	23229	6705
388	23290	6645
389	23362	6589
390	23433	6532
391	23503	6475
392	23575	6418
393	23656	6364
394	23732	6308
395	23812	6253
396	23874	6194
397	23945	6136
398	24006	6076
399	24084	6021
400	24154	5963
401	24226	5905
402	24294	5847
403	24388	5795
404	24453	5735
405	24512	5675
406	24558	5611
407	24604	5548
408	24665	5488
409	24729	5428
410	24800	5370
411	24877	5313
412	24955	5256
413	25018	5196
414	25095	5140
415	25176	5083
416	25255	5026
417	25319	4966
418	25396	4909
419	25441	4846
420	25485	4782
421	25525	4718
422	25594	4659
423	25640	4595
424	25684	4532
425	25730	4469
426	25773	4406
427	25820	4343
428	25886	4284
429	25926	4220
430	25966	4157
431	26007	4093
432	26055	4031
433	26125	3972
434	26200	3915
435	26278	3857
436	26358	3799
437	26444	3743
438	26493	3681
439	26535	3618
440	26579	3556
441	26621	3493
442	26664	3430
443	26708	3368
444	26748	3306
445	26791	3243
446	26833	3181
447	26899	3122
448	26949	3061
449	26994	2999
450	27057	2939
451	27102	2878
452	27146	2816
453	27221	2758
454	27290	2699
455	27350	2639
456	27410	2579
457	27485	2520
458	27534	2459
459	27581	2398
460	27627	2337
461	27682	2276
462	27738	2216
463	27787	2155
464	27846	2095
465	27897	2035
466	27959	1975
467	28008	1915
468	28050	1854
469	28105	1793
470	28156	1733
471	28232	1674
472	28300	1615
473	28373	1556
474	28456	1497
475	28531	1438
476	28607	1379
477	28688	1320
478	28763	1261
479	28837	1201
480	28901	1141
481	28979	1082
482	29053	1022
483	29126	962
484	29188	902
485	29263	842
486	29340	783
487	29416	723
488	29473	663
489	29546	602
490	29624	543
491	29704	483
492	29772	422
493	29849	362
494	29916	302
495	29995	241
496	30078	181
497	30156	121
498	30236	60
499	30318	0
